message,attributes,tags,timestamp
Starting Container,"{""level"":""info""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""0bb14cd8-95d6-4e01-8857-8dadb1fb3c25"",""replica"":""f179d5f4-6750-4183-a982-4f6b9a13f712""}",2025-09-29T08:59:47.000000000Z
INFO:     Started server process [2],"{""level"":""error""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""0bb14cd8-95d6-4e01-8857-8dadb1fb3c25"",""replica"":""f179d5f4-6750-4183-a982-4f6b9a13f712""}",2025-09-29T08:59:49.194359286Z
INFO:     Waiting for application startup.,"{""level"":""error""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""0bb14cd8-95d6-4e01-8857-8dadb1fb3c25"",""replica"":""f179d5f4-6750-4183-a982-4f6b9a13f712""}",2025-09-29T08:59:49.194369593Z
INFO:     Application startup complete.,"{""level"":""error""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""0bb14cd8-95d6-4e01-8857-8dadb1fb3c25"",""replica"":""f179d5f4-6750-4183-a982-4f6b9a13f712""}",2025-09-29T08:59:49.194375125Z
INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit),"{""level"":""error""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""0bb14cd8-95d6-4e01-8857-8dadb1fb3c25"",""replica"":""f179d5f4-6750-4183-a982-4f6b9a13f712""}",2025-09-29T08:59:49.194380215Z
"INFO:     100.64.0.2:45106 - ""OPTIONS /api/send-verification-code HTTP/1.1"" 200 OK","{""level"":""info""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""0bb14cd8-95d6-4e01-8857-8dadb1fb3c25"",""replica"":""f179d5f4-6750-4183-a982-4f6b9a13f712""}",2025-09-29T09:00:29.202349879Z
为 harrishuang494@gmail.com 存储的验证码: 603541,"{""level"":""info""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""0bb14cd8-95d6-4e01-8857-8dadb1fb3c25"",""replica"":""f179d5f4-6750-4183-a982-4f6b9a13f712""}",2025-09-29T09:02:39.272348940Z
Resend 发送失败，降级到下一通道： HTTP Error 403: Forbidden,"{""level"":""info""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""0bb14cd8-95d6-4e01-8857-8dadb1fb3c25"",""replica"":""f179d5f4-6750-4183-a982-4f6b9a13f712""}",2025-09-29T09:02:39.272358817Z
邮件发送失败: [Errno 101] Network is unreachable,"{""level"":""info""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""0bb14cd8-95d6-4e01-8857-8dadb1fb3c25"",""replica"":""f179d5f4-6750-4183-a982-4f6b9a13f712""}",2025-09-29T09:02:39.272367521Z
--- 发送邮件（备用方案）---,"{""level"":""info""}","{""project"":""13496585-dc4c-4bff-9839-9b9a20639704"",""environment"":""ef7ebcb9-bf85-4373-be26-2cf0827b4ae9"",""service"":""d72b57af-6b60-4703-8732-04b4176eb5ae"",""deployment"":""0bb14cd8-95d6-4e01-8857-8dadb1fb3c25"",""replica"":""f179d5f4-6750-4183-a982-4f6b9a13f712""}",2025-09-29T09:02:39.272372996Z
